,action,destIP,srcIP
727,DENY,1.0.0.0-1.255.255.255,6.5.1.0-6.5.1.127
728,ALLOW,1.10.0.0-1.11.255.255,8.0.0.0-15.255.255.255
729,DENY,6.3.9.0-6.3.9.3,7.1.0.0-7.1.31.255
730,ALLOW,7.10.4.1,3.5.7.0-3.5.7.31
731,DENY,6.0.0.0-7.255.255.255,7.9.0.0-7.9.15.255
732,ALLOW,2.0.0.0-2.3.255.255,1.4.0.0-1.7.255.255
733,DENY,2.6.6.6-2.6.6.7,0.0.0.0-31.255.255.255
734,DENY,10.9.3.0-10.9.3.7,8.0.0.0-11.255.255.255
735,DENY,7.7.3.0-7.7.3.3,3.0.0.0-3.63.255.255
736,ALLOW,7.9.0.0-7.9.3.255,5.7.5.0-5.7.5.127
737,ALLOW,7.2.7.0-7.2.7.15,0.0.0.0-31.255.255.255
738,ALLOW,10.1.0.0-10.1.255.255,1.2.8.0-1.2.15.255
739,DENY,9.8.6.0-9.8.7.255,0.0.0.0-15.255.255.255
740,ALLOW,9.9.9.0-9.9.9.63,6.0.0.0-6.63.255.255
741,DENY,10.6.2.0-10.6.2.3,0.0.0.0-7.255.255.255
742,ALLOW,6.7.8.0-6.7.11.255,2.4.2.0-2.4.2.127
743,DENY,0.0.0.0-31.255.255.255,1.1.4.0-1.1.7.255
744,DENY,8.3.7.0-8.3.7.3,8.0.0.0-8.7.255.255
745,DENY,0.0.0.0-31.255.255.255,9.5.7.0-9.5.7.15
746,DENY,4.2.4.0-4.2.4.31,4.0.0.0-5.255.255.255
747,ALLOW,6.0.0.0-6.255.255.255,0.0.0.0-63.255.255.255
748,ALLOW,3.9.2.0-3.9.2.63,4.0.0.0-7.255.255.255
749,DENY,4.5.8.0-4.5.8.255,10.0.0.0-10.255.255.255
750,DENY,0.0.0.0-3.255.255.255,10.2.0.0-10.2.63.255
751,DENY,3.0.0.0-3.31.255.255,4.0.0.0-4.15.255.255
752,ALLOW,0.0.0.0-63.255.255.255,8.0.0.0-11.255.255.255
753,DENY,3.0.0.0-3.31.255.255,10.8.0.0-10.8.15.255
754,DENY,1.9.8.0-1.9.11.255,7.8.7.0-7.8.7.255
755,ALLOW,0.0.0.0-63.255.255.255,10.0.0.0-10.31.255.255
756,ALLOW,3.0.0.0-3.255.255.255,8.0.0.0-9.255.255.255
757,ALLOW,9.0.0.0-9.15.255.255,5.2.4.0-5.2.4.63
758,DENY,1.0.0.0-1.127.255.255,6.5.0.0-6.5.63.255
759,ALLOW,2.4.0.0-2.4.127.255,5.6.1.1
760,DENY,7.1.6.0-7.1.7.255,6.9.0.0-6.9.255.255
761,DENY,0.0.0.0-31.255.255.255,4.3.3.4
762,ALLOW,0.0.0.0-15.255.255.255,10.10.0.0-10.10.31.255
763,DENY,3.5.0.0-3.5.127.255,10.3.9.0-10.3.9.31
764,ALLOW,0.0.0.0-127.255.255.255,10.2.8.0-10.2.8.15
765,ALLOW,2.6.4.0-2.6.7.255,6.0.0.0-7.255.255.255
766,DENY,3.7.0.0-3.7.63.255,8.9.8.5
767,DENY,8.0.0.0-11.255.255.255,10.1.9.0-10.1.9.127
768,ALLOW,0.0.0.0-255.255.255.255,0.0.0.0-127.255.255.255
769,ALLOW,8.3.9.0-8.3.9.7,2.0.0.0-2.15.255.255
770,DENY,0.0.0.0-63.255.255.255,10.0.0.0-10.63.255.255
771,ALLOW,1.7.0.0-1.7.15.255,8.10.0.0-8.10.127.255
772,ALLOW,0.0.0.0-63.255.255.255,6.0.0.0-6.31.255.255
773,ALLOW,7.7.5.0-7.7.5.255,0.0.0.0-15.255.255.255
774,DENY,2.0.0.0-2.31.255.255,0.0.0.0-3.255.255.255
775,ALLOW,8.10.9.0-8.10.9.127,8.3.6.0-8.3.6.255
776,ALLOW,5.8.10.0-5.8.10.127,4.9.8.9
777,ALLOW,0.0.0.0-31.255.255.255,2.2.0.0-2.2.255.255
778,ALLOW,2.1.4.0-2.1.7.255,0.0.0.0-63.255.255.255
779,DENY,3.4.9.0-3.4.9.127,2.0.0.0-2.7.255.255
780,DENY,8.0.0.0-8.31.255.255,1.3.4.0-1.3.7.255
781,DENY,5.8.4.0-5.8.7.255,0.0.0.0-3.255.255.255
782,DENY,4.0.0.0-5.255.255.255,1.3.0.0-1.3.3.255
783,ALLOW,1.0.0.0-1.127.255.255,5.4.5.8-5.4.5.15
784,ALLOW,6.0.0.0-6.15.255.255,2.3.6.0-2.3.6.63
785,ALLOW,6.0.0.0-6.31.255.255,3.0.0.0-3.255.255.255
786,ALLOW,0.0.0.0-63.255.255.255,2.10.10.6-2.10.10.7
787,ALLOW,1.8.0.0-1.8.127.255,5.9.0.0-5.9.127.255
788,ALLOW,7.5.5.0-7.5.5.127,1.0.0.0-1.15.255.255
789,ALLOW,10.8.8.0-10.8.8.15,0.0.0.0-127.255.255.255
790,ALLOW,0.0.0.0-127.255.255.255,0.0.0.0-7.255.255.255
791,ALLOW,0.0.0.0-63.255.255.255,10.4.0.0-10.4.63.255
792,ALLOW,7.6.0.0-7.6.1.255,6.8.0.0-6.8.15.255
793,ALLOW,2.0.0.0-2.7.255.255,5.6.8.0-5.6.8.15
794,ALLOW,2.0.0.0-3.255.255.255,7.1.5.0-7.1.5.31
795,ALLOW,5.8.0.0-5.9.255.255,2.0.0.0-2.31.255.255
796,ALLOW,3.0.0.0-3.15.255.255,7.0.0.0-7.127.255.255
797,DENY,1.2.3.0-1.2.3.31,8.0.0.0-8.255.255.255
798,DENY,10.6.4.0-10.6.7.255,3.0.0.0-3.63.255.255
799,ALLOW,3.9.3.1,5.10.0.0-5.10.127.255
800,DENY,10.9.9.1,7.9.2.0-7.9.2.255
801,ALLOW,8.0.0.0-9.255.255.255,3.0.0.0-3.63.255.255
802,DENY,10.0.0.0-11.255.255.255,5.9.0.0-5.9.15.255
803,ALLOW,7.9.0.0-7.9.63.255,8.0.0.0-8.15.255.255
804,ALLOW,4.7.8.0-4.7.8.127,9.8.5.8-9.8.5.15
805,DENY,7.4.9.4,8.7.10.0-8.7.10.15
806,DENY,4.0.0.0-5.255.255.255,5.5.1.0-5.5.1.15
807,DENY,6.2.7.0-6.2.7.31,3.1.4.4
808,ALLOW,9.0.0.0-9.15.255.255,4.0.0.0-7.255.255.255
809,ALLOW,3.4.0.0-3.7.255.255,0.0.0.0-63.255.255.255
810,ALLOW,0.0.0.0-15.255.255.255,10.7.1.0-10.7.1.31
811,DENY,2.10.0.0-2.11.255.255,6.0.0.0-6.31.255.255
812,ALLOW,1.0.0.0-1.127.255.255,2.2.3.0-2.2.3.31
813,DENY,4.7.8.0-4.7.8.31,1.0.0.0-1.31.255.255
814,ALLOW,4.0.0.0-7.255.255.255,8.0.0.0-8.127.255.255
815,ALLOW,1.5.8.6,2.1.3.0-2.1.3.1
816,DENY,0.0.0.0-127.255.255.255,4.7.6.7
817,ALLOW,0.0.0.0-127.255.255.255,0.0.0.0-127.255.255.255
818,ALLOW,0.0.0.0-127.255.255.255,0.0.0.0-31.255.255.255
819,ALLOW,0.0.0.0-31.255.255.255,10.0.0.0-11.255.255.255
820,DENY,3.9.0.0-3.9.63.255,5.10.8.0-5.10.11.255
821,ALLOW,7.0.0.0-7.127.255.255,5.1.10.0-5.1.10.127
822,DENY,0.0.0.0-63.255.255.255,5.6.0.0-5.6.255.255
823,DENY,4.0.0.0-7.255.255.255,7.5.8.0-7.5.8.7
824,DENY,4.8.0.0-4.8.255.255,1.8.4.0-1.8.5.255
825,ALLOW,10.2.9.0-10.2.9.63,9.1.7.0-9.1.7.15
826,ALLOW,5.0.0.0-5.31.255.255,9.0.0.0-9.127.255.255
827,DENY,10.8.8.8-10.8.8.9,6.2.6.4-6.2.6.7
828,DENY,5.10.0.0-5.10.127.255,3.9.10.0-3.9.11.255
829,ALLOW,0.0.0.0-15.255.255.255,2.6.0.0-2.6.15.255
830,DENY,7.1.6.0-7.1.6.15,2.4.0.0-2.4.31.255
831,ALLOW,0.0.0.0-63.255.255.255,0.0.0.0-31.255.255.255
832,DENY,1.2.6.0-1.2.6.7,9.5.8.0-9.5.8.31
833,ALLOW,2.0.0.0-3.255.255.255,5.0.0.0-5.15.255.255
834,DENY,4.7.0.0-4.7.255.255,8.7.0.0-8.7.31.255
835,DENY,5.0.0.0-5.63.255.255,0.0.0.0-255.255.255.255
836,ALLOW,4.8.0.0-4.11.255.255,3.0.0.0-3.127.255.255
837,DENY,2.0.0.0-2.7.255.255,2.3.0.0-2.3.127.255
838,DENY,4.8.7.4-4.8.7.7,10.5.3.2-10.5.3.3
839,ALLOW,9.0.0.0-9.255.255.255,3.0.0.0-3.255.255.255
840,DENY,9.8.1.7,2.0.0.0-2.31.255.255
841,DENY,8.8.0.0-8.8.255.255,2.8.0.0-2.8.1.255
842,DENY,10.7.0.0-10.7.15.255,8.0.0.0-11.255.255.255
843,ALLOW,6.3.1.0-6.3.1.31,6.0.0.0-7.255.255.255
844,DENY,0.0.0.0-63.255.255.255,5.3.7.2-5.3.7.3
845,DENY,8.0.0.0-8.15.255.255,8.10.0.0-8.10.127.255
846,ALLOW,4.8.2.0-4.8.3.255,8.4.4.0-8.4.4.255
847,ALLOW,0.0.0.0-31.255.255.255,3.2.0.0-3.2.7.255
848,ALLOW,0.0.0.0-127.255.255.255,2.0.0.0-2.255.255.255
849,DENY,6.0.0.0-6.63.255.255,4.1.10.6-4.1.10.7
850,DENY,6.9.8.0-6.9.8.255,4.0.0.0-7.255.255.255
851,DENY,8.3.7.2,6.2.9.0-6.2.9.127
852,DENY,4.8.0.0-4.8.63.255,0.0.0.0-15.255.255.255
853,DENY,4.5.0.0-4.5.31.255,6.1.8.0-6.1.11.255
854,ALLOW,1.9.0.0-1.9.127.255,5.9.0.0-5.9.31.255
855,ALLOW,4.4.0.0-4.4.1.255,0.0.0.0-15.255.255.255
856,ALLOW,10.8.8.9,2.0.0.0-2.255.255.255
857,ALLOW,0.0.0.0-31.255.255.255,10.8.8.0-10.8.15.255
858,DENY,3.9.0.0-3.9.3.255,10.7.0.0-10.7.31.255
859,DENY,5.3.8.0-5.3.9.255,5.3.0.0-5.3.255.255
860,DENY,0.0.0.0-7.255.255.255,2.5.9.0-2.5.9.7
861,ALLOW,0.0.0.0-31.255.255.255,4.1.0.0-4.1.127.255
862,DENY,2.0.0.0-2.15.255.255,2.5.0.0-2.5.63.255
863,DENY,5.0.0.0-5.63.255.255,10.7.0.0-10.7.127.255
864,ALLOW,8.9.0.0-8.9.15.255,0.0.0.0-127.255.255.255
865,DENY,5.1.0.0-5.1.31.255,6.10.4.0-6.10.5.255
866,ALLOW,0.0.0.0-63.255.255.255,0.0.0.0-255.255.255.255
867,ALLOW,4.10.0.0-4.10.7.255,4.4.8.4-4.4.8.7
868,ALLOW,9.4.5.0-9.4.5.255,0.0.0.0-127.255.255.255
869,DENY,8.0.0.0-15.255.255.255,9.10.0.0-9.10.63.255
870,ALLOW,0.0.0.0-3.255.255.255,5.7.0.0-5.7.63.255
871,DENY,10.2.0.0-10.2.127.255,0.0.0.0-15.255.255.255
872,DENY,7.0.0.0-7.7.255.255,2.8.6.4-2.8.6.7
873,DENY,5.0.0.0-5.255.255.255,4.1.0.0-4.1.63.255
874,ALLOW,10.9.0.0-10.9.15.255,8.8.0.0-8.9.255.255
875,ALLOW,6.1.0.0-6.1.3.255,9.4.2.7
876,ALLOW,10.2.0.0-10.2.7.255,9.4.0.0-9.4.63.255
877,ALLOW,0.0.0.0-7.255.255.255,0.0.0.0-63.255.255.255
878,DENY,9.8.2.0-9.8.2.255,5.10.0.0-5.10.31.255
879,ALLOW,6.0.0.0-6.31.255.255,8.6.0.0-8.6.255.255
880,DENY,5.2.4.0-5.2.7.255,7.0.0.0-7.7.255.255
881,ALLOW,5.0.0.0-5.255.255.255,5.0.0.0-5.63.255.255
882,ALLOW,0.0.0.0-3.255.255.255,4.9.0.0-4.9.127.255
883,DENY,6.1.0.0-6.1.15.255,6.4.7.4-6.4.7.5
884,DENY,6.0.0.0-6.63.255.255,0.0.0.0-15.255.255.255
885,DENY,4.9.0.0-4.9.3.255,10.5.6.0-10.5.7.255
886,DENY,0.0.0.0-7.255.255.255,8.0.0.0-8.127.255.255
887,DENY,8.0.0.0-8.127.255.255,0.0.0.0-63.255.255.255
888,DENY,2.7.0.0-2.7.7.255,6.0.0.0-7.255.255.255
889,ALLOW,1.7.4.0-1.7.4.127,5.0.0.0-5.15.255.255
890,ALLOW,5.0.0.0-5.255.255.255,4.1.8.0-4.1.8.31
891,ALLOW,1.0.0.0-1.63.255.255,0.0.0.0-31.255.255.255
892,ALLOW,7.5.0.0-7.5.127.255,0.0.0.0-31.255.255.255
893,ALLOW,8.1.0.0-8.1.127.255,3.7.0.0-3.7.127.255
894,ALLOW,0.0.0.0-255.255.255.255,1.3.1.0-1.3.1.127
895,DENY,3.2.2.0-3.2.2.63,8.0.0.0-8.7.255.255
896,ALLOW,1.8.8.8-1.8.8.11,7.0.0.0-7.31.255.255
897,ALLOW,0.0.0.0-15.255.255.255,10.4.5.10-10.4.5.11
898,DENY,3.0.0.0-3.127.255.255,10.6.0.0-10.6.255.255
899,ALLOW,4.3.0.0-4.3.63.255,2.0.0.0-2.127.255.255
900,DENY,6.5.10.0-6.5.10.127,7.6.1.0-7.6.1.127
901,ALLOW,8.0.0.0-8.255.255.255,8.8.7.0-8.8.7.255
902,ALLOW,4.0.0.0-4.127.255.255,0.0.0.0-15.255.255.255
903,ALLOW,2.0.0.0-3.255.255.255,9.2.3.0-9.2.3.63
904,DENY,5.8.0.0-5.8.63.255,4.0.0.0-4.63.255.255
905,DENY,0.0.0.0-31.255.255.255,6.0.0.0-6.15.255.255
906,ALLOW,7.0.0.0-7.1.255.255,9.6.0.0-9.7.255.255
907,DENY,6.2.10.0-6.2.10.31,0.0.0.0-127.255.255.255
908,ALLOW,4.0.0.0-4.63.255.255,2.10.4.0-2.10.4.31
909,ALLOW,5.0.0.0-5.3.255.255,9.0.0.0-9.15.255.255
910,ALLOW,5.10.0.0-5.10.63.255,9.9.0.0-9.9.7.255
911,ALLOW,1.7.4.1,4.0.0.0-7.255.255.255
912,ALLOW,0.0.0.0-3.255.255.255,8.4.6.0-8.4.6.3
913,DENY,4.9.8.0-4.9.8.31,4.10.5.0-4.10.5.63
914,DENY,2.6.3.10-2.6.3.11,6.9.0.0-6.9.7.255
915,DENY,0.0.0.0-31.255.255.255,4.6.6.0-4.6.6.63
916,DENY,2.4.10.2-2.4.10.3,0.0.0.0-1.255.255.255
917,ALLOW,9.10.5.0-9.10.5.127,9.6.8.4-9.6.8.7
918,DENY,3.8.0.0-3.15.255.255,0.0.0.0-3.255.255.255
919,DENY,4.8.0.0-4.11.255.255,2.0.0.0-2.63.255.255
920,DENY,6.0.0.0-6.1.255.255,6.0.0.0-6.3.255.255
921,DENY,6.0.0.0-7.255.255.255,6.1.0.0-6.1.3.255
922,DENY,3.6.5.0-3.6.5.31,8.3.1.0-8.3.1.15
923,DENY,2.9.0.0-2.9.31.255,2.0.0.0-3.255.255.255
924,DENY,0.0.0.0-15.255.255.255,0.0.0.0-255.255.255.255
925,DENY,2.6.1.0-2.6.1.15,9.8.0.0-9.8.31.255
926,ALLOW,9.9.5.0-9.9.5.31,4.9.0.0-4.9.127.255
927,DENY,7.6.0.0-7.6.7.255,7.0.0.0-7.127.255.255
928,DENY,7.10.1.0-7.10.1.255,7.5.9.0-7.5.9.255
929,ALLOW,5.3.0.0-5.3.255.255,0.0.0.0-15.255.255.255
930,ALLOW,0.0.0.0-31.255.255.255,4.0.0.0-7.255.255.255
931,ALLOW,10.0.0.0-11.255.255.255,9.2.6.0-9.2.6.15
932,DENY,7.0.0.0-7.63.255.255,3.4.0.0-3.7.255.255
933,ALLOW,4.7.0.0-4.7.7.255,0.0.0.0-31.255.255.255
934,DENY,6.0.0.0-6.63.255.255,9.7.2.0-9.7.2.31
935,ALLOW,7.0.0.0-7.7.255.255,9.0.0.0-9.3.255.255
936,DENY,6.10.0.0-6.10.15.255,10.7.6.0-10.7.6.15
937,DENY,4.0.0.0-4.15.255.255,10.0.0.0-10.31.255.255
938,ALLOW,0.0.0.0-15.255.255.255,0.0.0.0-31.255.255.255
939,ALLOW,2.9.5.0-2.9.5.255,9.8.0.0-9.9.255.255
940,DENY,0.0.0.0-15.255.255.255,0.0.0.0-127.255.255.255
941,ALLOW,0.0.0.0-15.255.255.255,6.5.4.0-6.5.7.255
942,ALLOW,7.10.0.0-7.10.31.255,7.8.0.0-7.9.255.255
943,DENY,4.8.6.0-4.8.7.255,2.6.1.8-2.6.1.15
944,ALLOW,3.4.4.0-3.4.4.15,3.9.7.0-3.9.7.127
945,DENY,6.9.0.0-6.9.127.255,7.7.9.2-7.7.9.3
946,ALLOW,5.9.0.0-5.9.63.255,10.9.0.0-10.9.7.255
947,ALLOW,0.0.0.0-31.255.255.255,5.0.0.0-5.255.255.255
948,DENY,3.8.8.0-3.8.8.63,2.5.0.0-2.5.31.255
949,ALLOW,5.3.4.0-5.3.7.255,9.9.10.0-9.9.10.127
950,DENY,0.0.0.0-31.255.255.255,10.8.4.0-10.8.5.255
951,ALLOW,1.10.10.4-1.10.10.7,0.0.0.0-7.255.255.255
952,DENY,2.5.0.0-2.5.63.255,0.0.0.0-31.255.255.255
953,ALLOW,0.0.0.0-127.255.255.255,1.8.0.0-1.15.255.255
954,ALLOW,3.8.0.0-3.8.127.255,10.5.0.0-10.5.15.255
955,ALLOW,0.0.0.0-7.255.255.255,8.0.0.0-11.255.255.255
956,ALLOW,6.2.0.0-6.3.255.255,0.0.0.0-15.255.255.255
957,ALLOW,9.3.0.0-9.3.3.255,4.1.7.0-4.1.7.7
958,ALLOW,4.4.0.0-4.4.255.255,2.4.0.0-2.4.31.255
959,ALLOW,7.2.0.0-7.2.63.255,9.10.0.0-9.10.127.255
960,ALLOW,10.8.0.0-10.8.31.255,4.0.0.0-7.255.255.255
961,ALLOW,7.2.10.10-7.2.10.11,9.0.0.0-9.255.255.255
962,ALLOW,7.9.5.4-7.9.5.7,0.0.0.0-63.255.255.255
963,ALLOW,5.0.0.0-5.31.255.255,7.0.0.0-7.255.255.255
964,DENY,4.4.0.0-4.4.15.255,5.0.0.0-5.31.255.255
965,DENY,3.2.8.0-3.2.15.255,8.0.0.0-9.255.255.255
966,ALLOW,8.5.8.0-8.5.15.255,1.0.0.0-1.15.255.255
967,ALLOW,9.0.0.0-9.127.255.255,10.5.0.0-10.5.127.255
968,ALLOW,0.0.0.0-3.255.255.255,3.6.0.0-3.6.31.255
969,DENY,8.6.4.0-8.6.4.7,0.0.0.0-15.255.255.255
970,DENY,10.5.3.0-10.5.3.7,4.2.8.0-4.2.9.255
971,DENY,4.0.0.0-7.255.255.255,4.0.0.0-5.255.255.255
972,DENY,6.10.3.0-6.10.3.127,8.0.0.0-8.127.255.255
973,ALLOW,9.9.6.0-9.9.7.255,9.3.5.0-9.3.5.3
974,ALLOW,1.0.0.0-1.127.255.255,9.0.0.0-9.31.255.255
975,DENY,0.0.0.0-15.255.255.255,0.0.0.0-63.255.255.255
976,ALLOW,0.0.0.0-7.255.255.255,5.0.0.0-5.15.255.255
977,ALLOW,6.0.0.0-6.63.255.255,2.6.0.0-2.7.255.255
978,ALLOW,7.8.0.0-7.15.255.255,5.2.4.0-5.2.7.255
979,DENY,4.1.3.0-4.1.3.7,8.1.2.0-8.1.2.3
980,DENY,4.0.0.0-7.255.255.255,9.6.0.0-9.6.63.255
981,DENY,8.0.0.0-8.15.255.255,9.4.0.0-9.4.3.255
982,ALLOW,0.0.0.0-63.255.255.255,0.0.0.0-255.255.255.255
983,DENY,5.1.6.2,0.0.0.0-63.255.255.255
984,DENY,3.0.0.0-3.15.255.255,9.3.0.0-9.3.127.255
985,ALLOW,10.10.10.6,7.7.10.0-7.7.10.255
986,ALLOW,8.0.0.0-9.255.255.255,0.0.0.0-31.255.255.255
987,DENY,6.7.6.0-6.7.6.127,1.6.3.10
988,ALLOW,2.0.0.0-2.15.255.255,4.0.0.0-4.127.255.255
989,DENY,9.8.0.0-9.8.63.255,5.6.10.0-5.6.10.127
990,DENY,2.10.2.0-2.10.2.15,7.8.2.2-7.8.2.3
991,DENY,7.8.0.0-7.8.127.255,3.0.0.0-3.255.255.255
992,ALLOW,0.0.0.0-15.255.255.255,2.0.0.0-2.31.255.255
993,DENY,6.0.0.0-6.127.255.255,9.8.0.0-9.8.31.255
994,ALLOW,5.1.4.0-5.1.4.15,10.7.3.0-10.7.3.15
995,DENY,8.0.0.0-8.127.255.255,1.10.0.0-1.10.127.255
996,DENY,0.0.0.0-127.255.255.255,10.1.6.4-10.1.6.7
997,ALLOW,0.0.0.0-3.255.255.255,5.9.1.0-5.9.1.255
998,DENY,0.0.0.0-127.255.255.255,0.0.0.0-3.255.255.255
999,DENY,9.9.5.0-9.9.5.15,3.6.0.0-3.6.63.255
1000,DENY,3.4.0.0-3.4.3.255,6.0.0.0-7.255.255.255
1001,DENY,9.0.0.0-9.15.255.255,4.10.8.0-4.10.8.127
1002,DENY,0.0.0.0-127.255.255.255,3.8.0.0-3.8.31.255
1003,DENY,4.0.0.0-7.255.255.255,10.2.2.0-10.2.3.255
1004,DENY,5.6.7.0-5.6.7.3,9.8.0.0-9.8.127.255
1005,ALLOW,3.8.0.0-3.15.255.255,0.0.0.0-63.255.255.255
1006,DENY,10.8.7.8-10.8.7.9,10.0.0.0-11.255.255.255
1007,ALLOW,3.0.0.0-3.31.255.255,6.6.9.0-6.6.9.1
1008,DENY,3.10.9.4-3.10.9.7,6.0.0.0-6.7.255.255
1009,DENY,0.0.0.0-7.255.255.255,7.6.0.0-7.6.255.255
1010,ALLOW,5.4.0.0-5.7.255.255,10.10.2.0-10.10.3.255
1011,DENY,4.0.0.0-4.255.255.255,8.1.7.4-8.1.7.5
1012,DENY,9.0.0.0-9.7.255.255,4.4.0.0-4.4.31.255
1013,ALLOW,9.3.6.0-9.3.7.255,7.0.0.0-7.15.255.255
1014,DENY,0.0.0.0-63.255.255.255,4.6.0.0-4.6.255.255
1015,ALLOW,3.4.5.0-3.4.5.15,6.0.0.0-7.255.255.255
1016,DENY,2.0.0.0-2.63.255.255,4.8.6.0-4.8.7.255
1017,ALLOW,0.0.0.0-31.255.255.255,6.8.0.0-6.9.255.255
1018,ALLOW,6.0.0.0-7.255.255.255,10.10.9.0-10.10.9.7
1019,ALLOW,8.0.0.0-8.31.255.255,7.10.0.0-7.10.63.255
1020,ALLOW,0.0.0.0-127.255.255.255,0.0.0.0-255.255.255.255
1021,ALLOW,5.2.0.0-5.2.31.255,0.0.0.0-31.255.255.255
1022,DENY,0.0.0.0-127.255.255.255,1.0.0.0-1.127.255.255
1023,DENY,0.0.0.0-7.255.255.255,0.0.0.0-3.255.255.255
1024,ALLOW,4.1.4.0-4.1.4.7,0.0.0.0-31.255.255.255
1025,ALLOW,7.2.7.0-7.2.7.31,4.1.8.1
1026,ALLOW,6.1.8.0-6.1.15.255,4.0.0.0-5.255.255.255
1027,ALLOW,7.6.0.0-7.7.255.255,0.0.0.0-63.255.255.255
1028,DENY,0.0.0.0-127.255.255.255,2.7.6.0-2.7.6.15
1029,ALLOW,5.0.0.0-5.15.255.255,7.7.8.0-7.7.15.255
1030,DENY,3.0.0.0-3.127.255.255,5.5.8.0-5.5.8.1
1031,DENY,3.6.0.0-3.6.63.255,10.0.0.0-10.7.255.255
1032,DENY,8.3.4.0-8.3.7.255,4.0.0.0-4.31.255.255
1033,ALLOW,10.4.7.8-10.4.7.15,0.0.0.0-31.255.255.255
1034,ALLOW,2.1.0.0-2.1.255.255,5.0.0.0-5.255.255.255
1035,DENY,8.0.0.0-8.127.255.255,4.0.0.0-4.7.255.255
1036,ALLOW,10.0.0.0-11.255.255.255,2.0.0.0-3.255.255.255
1037,DENY,0.0.0.0-7.255.255.255,5.9.0.0-5.9.127.255
1038,ALLOW,3.4.0.0-3.4.31.255,8.0.0.0-11.255.255.255
1039,DENY,0.0.0.0-127.255.255.255,1.8.5.0-1.8.5.127
1040,ALLOW,10.7.10.0-10.7.10.15,9.3.0.0-9.3.255.255
1041,DENY,0.0.0.0-63.255.255.255,5.10.0.0-5.10.3.255
1042,ALLOW,10.0.0.0-10.15.255.255,9.9.0.0-9.9.31.255
1043,DENY,0.0.0.0-15.255.255.255,0.0.0.0-255.255.255.255
1044,ALLOW,0.0.0.0-127.255.255.255,3.6.4.0-3.6.7.255
1045,ALLOW,5.0.0.0-5.127.255.255,4.9.8.0-4.9.8.127
1046,ALLOW,3.5.0.0-3.5.63.255,1.5.4.0-1.5.4.31
1047,ALLOW,6.0.0.0-6.31.255.255,0.0.0.0-127.255.255.255
1048,DENY,6.4.0.0-6.5.255.255,10.3.4.0-10.3.4.127
1049,ALLOW,2.5.0.0-2.5.127.255,10.10.4.0-10.10.7.255
1050,DENY,0.0.0.0-63.255.255.255,0.0.0.0-15.255.255.255
1051,ALLOW,6.0.0.0-7.255.255.255,0.0.0.0-63.255.255.255
1052,DENY,0.0.0.0-31.255.255.255,0.0.0.0-7.255.255.255
1053,ALLOW,4.1.0.0-4.1.7.255,8.0.0.0-11.255.255.255
1054,DENY,5.5.0.0-5.5.63.255,0.0.0.0-31.255.255.255
1055,DENY,0.0.0.0-255.255.255.255,3.10.0.0-3.10.15.255
1056,ALLOW,4.0.0.0-7.255.255.255,8.9.0.0-8.9.31.255
1057,DENY,0.0.0.0-15.255.255.255,3.9.0.0-3.9.15.255
1058,ALLOW,2.5.7.4-2.5.7.7,5.2.10.0-5.2.10.15
1059,ALLOW,5.3.4.8-5.3.4.11,4.9.7.4-4.9.7.5
1060,ALLOW,5.0.0.0-5.31.255.255,2.10.10.0-2.10.10.31
1061,DENY,2.0.0.0-2.63.255.255,0.0.0.0-63.255.255.255
1062,DENY,2.1.0.0-2.1.63.255,6.9.0.0-6.9.7.255
1063,ALLOW,0.0.0.0-15.255.255.255,0.0.0.0-15.255.255.255
1064,DENY,8.7.1.0-8.7.1.31,4.0.0.0-7.255.255.255
1065,ALLOW,0.0.0.0-63.255.255.255,8.2.0.0-8.2.255.255
1066,ALLOW,7.6.0.0-7.6.7.255,9.0.0.0-9.63.255.255
1067,DENY,2.4.6.0-2.4.7.255,6.0.0.0-7.255.255.255
1068,ALLOW,9.1.0.0-9.1.63.255,9.0.0.0-9.3.255.255
1069,DENY,0.0.0.0-31.255.255.255,10.6.8.8-10.6.8.15
1070,ALLOW,10.0.0.0-11.255.255.255,5.3.0.0-5.3.7.255
1071,DENY,2.0.0.0-2.255.255.255,9.1.0.0-9.1.127.255
1072,ALLOW,10.7.8.8-10.7.8.9,1.2.4.0-1.2.7.255
1073,ALLOW,2.10.9.0-2.10.9.255,8.0.0.0-11.255.255.255
1074,ALLOW,0.0.0.0-255.255.255.255,3.0.0.0-3.3.255.255
1075,ALLOW,2.0.0.0-3.255.255.255,5.0.0.0-5.31.255.255
1076,ALLOW,4.1.4.1,4.0.0.0-7.255.255.255
1077,ALLOW,0.0.0.0-15.255.255.255,0.0.0.0-63.255.255.255
1078,DENY,7.0.0.0-7.31.255.255,1.1.7.6
1079,DENY,8.0.0.0-9.255.255.255,0.0.0.0-63.255.255.255
1080,DENY,8.4.0.0-8.4.127.255,5.4.8.0-5.4.8.15
1081,ALLOW,0.0.0.0-3.255.255.255,6.7.6.0-6.7.6.31
1082,DENY,9.7.1.0-9.7.1.255,8.8.0.0-8.8.63.255
1083,DENY,5.5.0.0-5.5.63.255,8.0.0.0-8.15.255.255
1084,ALLOW,10.9.0.0-10.9.63.255,6.8.3.4-6.8.3.5
1085,DENY,4.0.0.0-4.63.255.255,9.0.0.0-9.31.255.255
1086,ALLOW,8.0.0.0-8.7.255.255,2.3.0.0-2.3.15.255
